Table with row headers in column A and column headers in rows 7 through 8,,,,,,,
Table H-2. Share of Aggregate Income Received by Each Fifth and Top 5 Percent of All Households: 1967 to 2020,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>.",,,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1968 to 2021 Annual Social and Economic Supplements (CPS ASEC).",,,,,,,
(Households as of March of the following year),,,,,,,
Year,Number (thousands),Shares of aggregate income,,,,,
,,"Lowest
fifth","Second
fifth","Third
fifth","Fourth
fifth","Highest
fifth","Top 5
percent"
2020,"129,931",3.0,8.1,14.0,22.6,52.2,23.0
2019,"128,451",3.1,8.3,14.1,22.7,51.9,23.0
2018,"128,579",3.1,8.3,14.1,22.6,52.0,23.1
2017 (40),"127,669",3.0,8.1,14.0,22.6,52.3,23.2
2017,"127,586",3.1,8.2,14.3,23.0,51.5,22.3
2016,"126,224",3.1,8.3,14.2,22.9,51.5,22.6
2015,"125,819",3.1,8.2,14.3,23.2,51.1,22.1
2014,"124,587",3.1,8.2,14.3,23.2,51.2,21.9
2013 (39),"123,931",3.1,8.2,14.3,23.0,51.4,22.2
2013 (38),"122,952",3.2,8.4,14.4,23.0,51.0,22.2
2012,"122,459",3.2,8.3,14.4,23.0,51.0,22.3
2011,"121,084",3.2,8.4,14.3,23.0,51.1,22.3
2010 (37),"119,927",3.3,8.5,14.6,23.4,50.3,21.3
2009 (36),"117,538",3.4,8.6,14.6,23.2,50.3,21.7
2008,"117,181",3.4,8.6,14.7,23.3,50.0,21.5
2007,"116,783",3.4,8.7,14.8,23.4,49.7,21.2
2006,"116,011",3.4,8.6,14.5,22.9,50.5,22.3
2005,"114,384",3.4,8.6,14.6,23.0,50.4,22.2
2004 (35),"113,343",3.4,8.7,14.7,23.2,50.1,21.8
2003,"112,000",3.4,8.7,14.8,23.4,49.8,21.4
2002,"111,278",3.5,8.8,14.8,23.3,49.7,21.7
2001,"109,297",3.5,8.7,14.6,23.0,50.1,22.4
2000 (30),"108,209",3.6,8.9,14.8,23.0,49.8,22.1
1999 (29),"106,434",3.6,8.9,14.9,23.2,49.4,21.5
1998,"103,874",3.6,9.0,15.0,23.2,49.2,21.4
1997,"102,528",3.6,8.9,15.0,23.2,49.4,21.7
1996,"101,018",3.6,9.0,15.1,23.3,49.0,21.4
1995 (25),"99,627",3.7,9.1,15.2,23.3,48.7,21.0
1994 (24),"98,990",3.6,8.9,15.0,23.4,49.1,21.2
1993 (23),"97,107",3.6,9.0,15.1,23.5,48.9,21.0
1992 (22),"96,426",3.8,9.4,15.8,24.2,46.9,18.6
1991,"95,669",3.8,9.6,15.9,24.2,46.5,18.1
1990,"94,312",3.8,9.6,15.9,24.0,46.6,18.5
1989,"93,347",3.8,9.5,15.8,24.0,46.8,18.9
1988,"92,830",3.8,9.6,16.0,24.2,46.3,18.3
1987 (21),"91,124",3.8,9.6,16.1,24.3,46.2,18.2
1986,"89,479",3.8,9.7,16.2,24.3,46.1,18.0
1985 (20),"88,458",3.9,9.8,16.2,24.4,45.6,17.6
1984 (19),"86,789",4.0,9.9,16.3,24.6,45.2,17.1
1983,"85,407",4.0,9.9,16.4,24.6,45.1,17.0
1982,"83,918",4.0,10.0,16.5,24.5,45.0,17.0
1981,"83,527",4.1,10.1,16.7,24.8,44.3,16.5
1980,"82,368",4.2,10.2,16.8,24.7,44.1,16.5
1979 (18),"80,776",4.1,10.2,16.8,24.6,44.2,16.9
1978,"77,330",4.2,10.2,16.8,24.7,44.1,16.8
1977,"76,030",4.2,10.2,16.9,24.7,44.0,16.8
1976 (17),"74,142",4.3,10.3,17.0,24.7,43.7,16.6
1975 (16),"72,867",4.3,10.4,17.0,24.7,43.6,16.5
1974 (16)(15),"71,163",4.3,10.6,17.0,24.6,43.5,16.5
1973,"69,859",4.2,10.4,17.0,24.5,43.9,16.9
1972 (14),"68,251",4.1,10.4,17.0,24.5,43.9,17.0
1971 (13),"66,676",4.1,10.6,17.3,24.5,43.5,16.7
1970,"64,778",4.1,10.8,17.4,24.5,43.3,16.6
1969,"63,401",4.1,10.9,17.5,24.5,43.0,16.6
1968,"62,214",4.2,11.1,17.6,24.5,42.6,16.3
1967 (12),"60,813",4.0,10.8,17.3,24.2,43.6,17.2
