Table with row headers in column A and column headers in rows 8 through 9 and 67 through 68,,,,,,
Table H-1. Income Limits for Each Fifth and Top 5 Percent of All Households: 1967 to 2020,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>.",,,,,,
Footnotes are available at <www.census.gov/topics/income-poverty/income/guidance/cps-historic-footnotes.html>.,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 1968 to 2021 Annual Social and Economic Supplements (CPS ASEC).",,,,,,
(Households as of March of the following year. Income in current and 2020 CPI-U-RS adjusted dollars (28)),,,,,,
Current Dollars,,,,,,
Year,Number (thousands),Upper limit of each fifth (dollars),,,,"Lower limit
of top 5
percent
(dollars)"
,,Lowest,Second,Third,Fourth,
2020,"129,931","27,026","52,179","85,076","141,110","273,739"
2019,"128,451","28,084","53,503","86,488","142,501","270,002"
2018,"128,579","25,600","50,000","79,542","130,000","248,728"
2017 (40),"127,669","24,822","47,218","77,150","126,603","244,088"
2017,"127,586","24,638","47,110","77,552","126,855","237,034"
2016,"126,224","24,002","45,600","74,869","121,018","225,251"
2015,"125,819","22,800","43,511","72,001","117,002","214,462"
2014,"124,587","21,432","41,186","68,212","112,262","206,568"
2013 (39),"123,931","21,000","41,035","67,200","110,232","205,128"
2013 (38),"122,952","20,900","40,187","65,501","105,910","196,000"
2012,"122,459","20,599","39,764","64,582","104,096","191,156"
2011,"121,084","20,262","38,520","62,434","101,582","186,000"
2010 (37),"119,927","20,000","38,000","61,500","100,029","180,485"
2009 (36),"117,538","20,453","38,550","61,801","100,000","180,001"
2008,"117,181","20,712","39,000","62,725","100,240","180,000"
2007,"116,783","20,291","39,100","62,000","100,000","177,000"
2006,"116,011","20,035","37,774","60,000","97,032","174,012"
2005,"114,384","19,178","36,000","57,660","91,705","166,000"
2004 (35),"113,343","18,486","34,675","55,230","88,002","157,152"
2003,"112,000","17,984","34,000","54,453","86,867","154,120"
2002,"111,278","17,916","33,377","53,162","84,016","150,002"
2001,"109,297","17,970","33,314","53,000","83,500","150,499"
2000 (30),"108,209","17,920","33,000","52,174","81,766","145,220"
1999 (29),"106,434","17,136","31,920","50,384","79,232","142,000"
1998,"103,874","16,116","30,408","48,337","75,000","132,199"
1997,"102,528","15,400","29,200","46,000","71,500","126,550"
1996,"101,018","14,768","27,760","44,006","68,015","119,540"
1995 (25),"99,627","14,400","26,914","42,002","65,124","113,000"
1994 (24),"98,990","13,426","25,200","40,100","62,841","109,821"
1993 (23),"97,107","12,967","24,679","38,793","60,300","104,639"
1992 (22),"96,426","12,600","24,140","37,900","58,007","99,020"
1991,"95,669","12,591","24,000","37,070","56,759","96,400"
1990,"94,312","12,500","23,662","36,200","55,205","94,748"
1989,"93,347","12,096","23,000","35,350","53,710","91,750"
1988,"92,830","11,382","21,500","33,506","50,593","85,640"
1987 (21),"91,124","10,800","20,500","32,000","48,363","80,928"
1986,"89,479","10,247","19,600","30,419","45,982","77,106"
1985 (20),"88,458","9,941","18,704","28,975","43,578","72,004"
1984 (19),"86,789","9,500","17,780","27,393","41,380","68,500"
1983,"85,290","8,949","16,640","25,539","38,596","63,500"
1982,"83,918","8,400","15,976","24,410","36,400","60,086"
1981,"83,527","8,024","15,000","23,200","34,300","55,200"
1980,"82,368","7,478","14,024","21,500","31,480","50,661"
1979 (18),"80,776","7,000","13,000","20,001","29,000","46,860"
1978,"77,330","6,318","11,946","18,075","26,288","42,055"
1977,"76,030","5,734","10,800","16,462","24,000","38,000"
1976 (17),"74,142","5,405","10,070","15,340","22,070","35,000"
1975 (16),"72,867","5,000","9,384","14,180","20,360","32,129"
1974 (16)(15),"71,163","4,860","9,015","13,321","19,333","30,600"
1973,"69,859","4,397","8,455","12,510","18,012","28,950"
1972 (14),"68,251","4,050","7,800","11,528","16,500","26,555"
